"homepage","bias"
"http://www.lifenews.com/","right"
"https://www.clear-politics.com/","right"
"http://www.gopusa.com/","right"
"http://libertyunyielding.com/","right"
"http://politichicks.com/","right"
"https://home.nra.org/","right"
"http://legalinsurrection.com/","right"
"http://www.city-journal.org/","right"
"http://www.dailytelegraph.com.au/","right"
"http://dcwhispers.com/","right"
"https://conservativebase.com/","right"
"http://www.faithwire.com","right"
"https://aclj.org/","right"
"http://www.teapartypatriots.org/","right"
"http://www.intellectualtakeout.org/","right"
"https://pjmedia.com/","right"
"http://libertytalk.fm/","right"
"http://www.powerlineblog.com/","right"
"https://theconservativetreehouse.com/","right"
"https://www.nccivitas.org/","right"
"https://www.ff.org","right"
"http://www.jewishworldreview.com/","right"
"http://ipatriot.com","right"
"http://citizensunited.org/index.aspx","right"
"https://www.tpusa.com/","right"
"http://knoxreport.com/","right"
"http://www.oann.com/","right"
"http://fightpp.org","right"
"http://www.hoover.org/publications/policy-review","right"
"http://disobedientmedia.com/","right"
"http://www.resistancemedia.org/","right"
"http://projectveritas.com/","right"
"http://www.adelaidenow.com.au/","right"
"https://www.conservativeoutfitters.com/blogs/news","right"
"http://debatepost.com/","right"
"http://www.futureinamerica.com/news","right"
"http://bigleaguepolitics.com/","right"
"http://nextnewsnetwork.com/","right"
"https://www.lewrockwell.com/","right"
"http://www.westernjournalism.com/thepoint/","right"
"http://www.westernfreepress.com/","right"
"http://www.youngcons.com/","right"
"http://www.weaselzippers.us/","right"
"http://www.teapartytribune.com/","right"
"http://thehayride.com/","right"
"http://theresurgent.com/","right"
"https://americanconsequences.com","right"
"http://www.torontosun.com/","right"
"https://www.heartland.org/","right"
"http://www.cscmediagroupus.com/","right"
"http://freebeacon.com/","right"
"http://iwf.org/","right"
"http://ibleedredwhiteblue.com/","right"
"http://crimeresearch.org/","right"
"https://world.wng.org/","right"
"http://www.thecollegefix.com/","right"
"http://redalertpolitics.com/","right"
"https://therealstrategy.com/","right"
"https://themilreview.com/","right"
"http://www.judicialwatch.org/","right"
"http://www.campaignlifecoalition.com/","right"
"https://offgridsurvival.com/","right"
"http://www.dailymail.co.uk/ushome/index.html","right"
"https://www.conservativeshere.com/","right"
"http://www.lifezette.com/","right"
"https://www.campusreform.org","right"
"http://www.hudson.org/","right"
"http://www.usapoliticstoday.com/","right"
"http://www.secureamericanow.org/","right"
"http://heatst.com/","right"
"http://offendedamerica.com/","right"
"http://www.mrc.org/","right"
"http://tribunist.com/","right"
"http://www.americanthinker.com/","right"
"http://controversialtimes.com/","right"
"https://judicialnetwork.com/","right"
"https://www.lifesitenews.com/","right"
"http://www.g-a-i.org/","right"
"https://www.chroniclesmagazine.org/","right"
"https://www.churchmilitant.com/","right"
"http://therantidote.com/","right"
"http://www.dailysabah.com/","right"
"http://politifeed.net","right"
"http://theblacksphere.net/","right"
"https://americanmilitarynews.com","right"
"http://tennesseestar.com/","right"
"https://www.whitehouse.gov/1600daily","right"
"http://www.ammoland.com/","right"
"https://www.christiannewsalerts.com","right"
"http://www.libertyheadlines.com/","right"
"http://www.allenbwest.com/","right"
"https://www.getreligion.org/","right"
"https://energycitizens.org/","right"
"https://www.gatestoneinstitute.org/","right"
"http://worldtribune.com/","right"
"http://dailysurge.com/","right"
"http://twitchy.com/","right"
"http://cowgernation.com/","right"
"http://www.ronpaullibertyreport.com/","right"
"http://www.dcstatesman.com/","right"
"http://www.nationalreview.com/","right"
"http://www.colddeadhands.us/","right"
"http://thedailydefender.com/","right"
"http://spiked-online.com/","right"
"http://www.cnsnews.com/","right"
"http://louderwithcrowder.com/","right"
"https://sentinelksmo.org","right"
"https://ricochet.com","right"
"https://farleftwatch.com","right"
"https://thecitizenpress.com","right"
"https://uspoliticsinfo.com/","right"
"https://fedsoc.org/","right"
"http://www.express.co.uk/","right"
"https://mediaequalizer.com/","right"
"http://thefederalist.com/","right"
"http://www.defenddemocracy.org","right"
"https://www.numbersusa.com/","right"
"http://newlypress.com","right"
"https://www.mercatornet.com","right"
"http://federalistpress.com/","right"
"http://www.weeklystandard.com/","right"
"http://www.americanlibertyreport.com","right"
"http://townhall.com/","right"
"http://www.christianpost.com/","right"
"https://www.commentarymagazine.com/","right"
"http://www.acting-man.com/","right"
"http://therightscoop.com/","right"
"http://libertynews.com/","right"
"http://www.crisismagazine.com/","right"
"http://dailysignal.com/","right"
"http://www.drudgereport.com/","right"
"http://awm.com/","right"
"http://dailycaller.com/","right"
"http://www.breitbart.com/","right"
"http://www.thepostemail.com/","right"
"http://www.chicksontheright.com/","right"
"http://www.conservativehq.com/","right"
"https://patriotpost.us/","right"
"http://vesselnews.io/","right"
"http://alphanewsmn.com/","right"
"http://www.thedailyliberator.com/","right"
"http://www.ronpaulinstitute.org/","right"
"http://www.aim.org/","right"
"http://www.therebel.media/","right"
"http://www.wnd.com/","right"
"https://www.mediacircus.com/","right"
"http://americansforprosperity.org","right"
"http://www.familysecuritymatters.org/","right"
"http://bluelivesmatter.blue/","right"
"http://www.dailywire.com/","right"
"http://patriotnewsdaily.com/","right"
"https://beinglibertarian.com/","right"
"http://notliberal.com","right"
"http://libertyhangout.org/","right"
"http://www.restoreamericanglory.com/","right"
"https://www.conservativereview.com/","right"
"http://biggovernment.news/index.html","right"
"https://www.tasnimnews.com/en","right"
"http://humanevents.com/","right"
"https://regated.com/","right"
"https://bearingarms.com/","right"
"http://www.independentsentinel.com/","right"
"http://www.vivaliberty.com/","right"
"http://www.redflagnews.com/","right"
"http://www.thenewamerican.com/","right"
"http://firstinfreedomdaily.com/","right"
"https://www.gop.com/","right"
"http://newbostonpost.com","right"
"http://www.unbiasedamerica.com/","right"
"http://www.theamericancause.org/","right"
"http://www.newsbusters.org/","right"
"https://www.aei.org/","right"
"http://redstatewatcher.com/","right"
"http://erlc.com/","right"
"http://www.redstate.com/","right"
"https://lifeandabout.com/","right"
"http://www.bizpacreview.com/","right"
"http://www.theblaze.com/","right"
"http://www.opslens.com/","right"
"http://www.unionleader.com/","right"
"http://spectator.org/","right"
"http://canadafreepress.com/","right"
"http://silenceisconsent.net/","right"
"http://www.thetruthaboutguns.com/","right"
"https://hillarydaily.com/","right"
"https://acculturated.com","right"
"http://hotair.com/","right"
"https://ijr.com/","right"
"http://factsandlogic.org/","right"
"http://www.onenewsnow.com/","right"
"http://www.heritage.org/","right"
"https://www.thesun.co.uk/","right"
"https://71republic.com/","right"
"http://yellowhammernews.com/","right"
"http://www.thepoliticalinsider.com/","right"
"http://www.freedomworks.org/","right"
"http://libertyalliance.com/","right"
"https://www.libertynation.com","right"
"https://www.illinoispolicy.org/","right"
"https://capitalresearch.org/","right"
"http://www.foxnews.com/","right"
"http://www.newrevolutionnow.org/","right"
"http://www.conservativedailynews.com/","right"
"http://sonorannews.com/","right"
"http://truthinmedia.com/","right"
"http://www.nationalcenter.org/","right"
"https://www.alec.org","right"
"http://www.newsmax.com/","right"
"http://www.againstcronycapitalism.org/","right"
